Food Item,Calories,Protein (g),Fats (g),Dining Hall
Vegetable Pizza,203,8.4g,5.5g,hampshire
California Roll,230,6g,1.7g,hampshire
Spicy Tuna Roll,312,12g,9.2g,hampshire
Teriyaki Pulmuone Tofu Roll,249,8g,3.7g,hampshire
Vegetable Sushi Roll,204,3.6g,1.4g,hampshire
Sauteed Broccoli,26,2.6g,1.4g,hampshire
Wyatt Family Shephard's Pie,163,6.1g,10g,hampshire
Beef Fajitas,87,5.7g,5.6g,hampshire
Black Beans,80,3.6g,1.7g,hampshire
Corn and Red Peppers,30,0.5g,1.1g,hampshire
Flour Tortilla,90,2g,2g,hampshire
Latin Toppings,135,6.2g,10.5g,hampshire
Plant Based Chorizo Crumbles,106,8.7g,7.7g,hampshire
Yellow Rice,111,1.7g,2.7g,hampshire
Spicy Garlic Tofu,184,13.2g,10g,hampshire
Steamed Fish w/Scallion Ginger Sauce,88,13.9g,2.8g,hampshire
Stir Fried Vegetables,33,1.5g,2.5g,hampshire
Vegetable Lo Mein,109,2.6g,2g,hampshire
Vegetable Spring Rolls,79,0.6g,7.6g,hampshire
Chicken Noodle Soup,63,4.4g,1.6g,hampshire
Tomato Bisque Soup,113,1.9g,6.9g,hampshire
Chicken Cacciatore,175,15.7g,9.4g,hampshire
Lemon Rice Pilaf,92,1.7g,0.2g,hampshire
Lyonnaise Potatoes,76,1.4g,2.7g,hampshire
Norwegian Salmon Shawarma,53,5.1g,3.6g,hampshire
Roasted Spiced Butternut Squash,63,0.8g,3.2g,hampshire
Roasted Spiced Zucchini,31,1.4g,1.6g,hampshire
French Fries,193,1.8g,13.2g,hampshire
Grilled Chicken Breast,93,16.8g,2.7g,hampshire
Halal Burger Patty,144,12.6g,10.2g,hampshire
Jerk Chicken Thigh,110,17.1g,3.6g,hampshire
Local Roasted Sweet Potatoes,164,1.7g,8g,hampshire
Mashed Potato Bowl w/Chicken,393,18.1g,24.6g,hampshire
Salmon Kelp Burger,140,13g,6g,hampshire
Sweet Potato Fries,204,0.9g,14.7g,hampshire
Bhardwaj Family Malani Paneer,241,10.4g,19.5g,hampshire
Induur Chana Masala,147,6.6g,3.7g,hampshire
Naan,130,4g,1.7g,hampshire
Potato & Pea Samosa,170,2g,11.7g,hampshire
Vegetable Pulao,145,2.1g,3.5g,hampshire
Caprese Pasta Salad,116,4.5g,7.1g,hampshire
Homemade Mid Eastern Hummus,111,4.4g,4.9g,hampshire
Linguini Pasta,142,6g,0.7g,hampshire
Marinara Sauce,31,1g,1.8g,hampshire
Meatball Sauce,186,9.6g,14.5g,hampshire
Roasted Butternut Squash w/Balsamic & Pepitas,60,1.3g,1.9g,hampshire
"Roasted Pepper, Olive & Feta Salad",110,2.7g,10.1g,hampshire
Scampi Shrimp (Chicken Flavor),141,7.7g,4.2g,hampshire
Whole Grain Penne,212,8.9g,1.1g,hampshire
Banana Choc Chip Cake w/Maple Frosting,170,1.4g,6.7g,hampshire
Chocolate Walnut Pie,461,5g,21.4g,hampshire
Chipotle Jalapeno Cornbread,179,3.4g,9.9g,hampshire
"Korean Black Bean Noodles (Pulmuone Pork, Beef)",597,23.8g,13.1g,hampshire
Cheese Pizza,204,8.3g,5.4g,hampshire
Pepperoni Pizza,217,8.9g,7g,hampshire
Vegetable Pizza,203,8.4g,5.5g,hampshire
California Roll,230,6g,1.7g,hampshire
Spicy Tuna Roll,312,12g,9.2g,hampshire
Teriyaki Pulmuone Tofu Roll,249,8g,3.7g,hampshire
Vegetable Sushi Roll,204,3.6g,1.4g,hampshire
Chicken Souvlakia Rice Bowl,348,17.3g,11.9g,hampshire
Latin Toppings,135,6.2g,10.5g,hampshire
Peruvian Rice,126,2.3g,3.3g,hampshire
Pinto Beans,86,4g,1.6g,hampshire
"Zucchini, Corn & Peppers",42,1.1g,2g,hampshire
Stir Fried Vegetables,33,1.5g,2.5g,hampshire
Sweet Chili Pulmuone Tofu,209,10.4g,14.2g,hampshire
Tangerine Chicken,130,11.1g,5.1g,hampshire
Vegetable Lo Mein,109,2.6g,2g,hampshire
Vegetable Spring Rolls,79,0.6g,7.6g,hampshire
1% Milk,100,8g,2.3g,hampshire
Bacon Breakfast Sandwich (English Muffin),340,19g,18.8g,hampshire
Cheese Danish,151,3g,9.1g,hampshire
GF Bacon Breakfast Bagel Sandwich,320,17g,19.1g,hampshire
GF Breakfast Bagel Sandwich,206,9.9g,9.1g,hampshire
Hot Oatmeal,34,1.2g,0.6g,hampshire
Lemon Poppy Seed Muffin Top,271,3.4g,14.4g,hampshire
Lowfat Chocolate Milk,172,6.8g,4.3g,hampshire
Orange Juice,120,0g,0g,hampshire
Worcester Breakfast Sandwich,226,11.9g,8.9g,hampshire
